58,58,D3758,BEDSER STREET PARK,B-RE-1149,23,BEDSER STREET,MACGREGOR,4109,153.0741068,-27.55995274,303.4436692,5350.154682
59,59,D3759,ASPLEY RESERVIOR PARK,B-RE-1148,43B,LAWRENCE ROAD,ASPLEY,4034,153.0104223,-27.37453041,2420.701179,70423.20233
60,60,D3772,HOLDSWORTH STREET PARK,B-RE-1147,226,OLD CLEVELAND ROAD,COORPAROO,4151,153.0558357,-27.49575729,339.5588,3252.321204
61,61,D3773,CARSELGROVE AVENUE PARK ,B-RE-1146,4,CARNARVON CRESCENT,FITZGIBBON,4018,153.0285544,-27.34369948,146.954804,880.2578369
62,62,D3792,DESHON PARK,B-RE-1145,128,DESHON STREET,COORPAROO,4151,153.048037,-27.4934505,286.3875643,3247.129473
63,63,D3832,SCHOOL ROAD BIKEWAY PARK,B-RE-1144,100,SCHOOL ROAD,THE GAP,4061,152.942248,-27.4479044,166.3954315,577.1203229
64,64,D3833,HURWORTH STREET PARK,B-RE-1143,30,MARKWELL STREET,BOWEN HILLS,4006,153.0367658,-27.44870155,197.6041953,1887.255218
65,65,D3835,OUTLOOK PARK,B-RE-1142,63,BOGGO ROAD,DUTTON PARK,4102,153.0308855,-27.49470243,235.9902267,2160.530278
66,66,D3852,KING AVENUE PARK,B-RE-1141,128,KING AVENUE,WILLAWONG,4110,152.9971554,-27.59657756,1814.538934,78293.50845
67,67,D3853,SOUTH PINE PARK,B-RE-1140,400,SOUTH PINE ROAD,EVERTON PARK,4053,152.9905214,-27.41407859,1235.933716,18676.17764
68,68,D3854,CAMBRIDGE STREET PARK,B-RE-1139,60,CAMBRIDGE STREET,ROCKLEA,4106,153.0087576,-27.53803034,331.7492263,1338.078889
69,69,D3872,GLIDER FOREST,B-RE-1138,1056,PARADISE ROAD,LARAPINTA,4110,153.0121328,-27.65187975,4900.802777,1242856.299
70,70,D3874,HOME STREET PARK,B-RE-1136,136,HOME STREET,FAIRFIELD,4103,153.0244413,-27.50701891,283.7987907,1476.673124
71,71,D2612,EUNGELLA TERRACE PARK,B-RE-0242,119,SANCTUARY DRIVE,FOREST LAKE,4078,152.9808751,-27.6338396,1286.29901,27165.84369
72,72,D2613,WESTAWAY PARK (MOGGILL),B-RE-0241,4,WITTY ROAD,MOGGILL,4070,152.8733014,-27.57047307,592.6792042,18115.91263
73,73,D2614,SILKY OAK AVENUE PARK,B-RE-0240,61,SILKY OAK AVENUE,MOGGILL,4070,152.8697951,-27.57053715,623.2235309,10508.00634
74,74,D2615,BLUEGUM RISE PARK,B-RE-0239,30,BLUEGUM RISE,ANSTEAD,4070,152.8592431,-27.56186771,589.8236266,9286.0612
75,75,D2616,DOULTON STREET PARK,B-RE-0238,30,DOULTON STREET,CALAMVALE,4116,153.0510069,-27.63759458,2306.321354,116379.6225
76,76,D2617,GAWLER CRESCENT PARK,B-RE-0237,219,NORRIS ROAD,BRACKEN RIDGE,4017,153.024304,-27.32555145,308.2272781,2355.264619
77,77,D2633,QUINLAN STREET PARK,B-RE-0236,54,BARRETT STREET,BRACKEN RIDGE,4017,153.0492066,-27.32076959,346.4721988,5497.583085
78,78,D2634,TORRENS CRESCENT PARK,B-RE-0235,37,TORRENS CRESCENT,WAKERLEY,4154,153.1594539,-27.48184981,1218.093343,45468.01286
79,79,D2635,HAZEL STREET PARK,B-RE-0234,8,HAZEL STREET,HEATHWOOD,4110,152.9887049,-27.6343919,271.4376727,5103.353117
